agent,cognitive_model,run,nll,bic,beta,alpha_forced,alpha_pos_free,alpha_neg_free,alpha_pos_forced,alpha_neg_forced
human,Model_3alpha,0,287.883143038476,602.0832909249924,1.7800873855301624,0.0009186033849594373,0.9274854624791221,0.0148680318651215,,
human,Model_3alpha,1,70.95722091952037,168.23144668708113,6.787696578916526,0.1558727227699511,0.2983129162304424,0.10853066241314543,,
human,Model_3alpha,2,132.25398129501184,290.8249674380641,4.908524488853856,0.13090834409514676,0.266909920446079,0.2183649468674891,,
human,Model_3alpha,3,205.0212585090198,436.35952186608,3.716221119669556,0.04880769223759544,0.10832875485081384,0.043896724799700436,,
human,Model_3alpha,4,248.97375116022346,524.2645071684873,1.7984442286814768,0.2664013709924606,0.8753074667197503,0.09527931011555257,,
human,Model_3alpha,5,154.39950067640743,335.1160062008553,5.244341231451759,0.09664454388285723,0.1319492642738379,0.05549188159778915,,
human,Model_3alpha,6,261.5240264520507,549.3650577521418,4.268407862984805,0.0036747578472172246,0.05027975449113426,0.000502615141795317,,
human,Model_3alpha,7,193.7987568638773,413.914518575795,5.01414736203655,0.05638267392702274,0.11992368878918071,0.030130084765874664,,
human,Model_3alpha,8,222.02740804277005,470.3718209335805,2.8561042359235547,0.17516050441153716,0.23754773372348592,0.09435580202602024,,
human,Model_3alpha,9,97.8317607925768,221.980526433194,4.320793614256363,0.035232009279588763,0.940545734177351,0.1189298296742693,,
human,Model_3alpha,10,140.47824443973923,307.2734937275189,4.830510491264541,0.09914026636296634,0.23413184577544535,0.13445620454275178,,
human,Model_3alpha,11,110.91815403696803,248.15331292197646,3.335268894128643,0.056749923884912255,0.6595241204923789,0.02031884371384544,,
human,Model_3alpha,12,115.38258765461751,257.08218015727545,8.121327687676448,0.0036111823714604406,0.1186474058594812,0.05103907752047861,,
human,Model_3alpha,13,329.62913108706886,685.5752670221781,0.7438474548240545,0.03581727629372975,0.1320733624272661,0.04738604077154081,,
human,Model_3alpha,14,124.91403177506683,276.1450683981741,6.075479044411313,0.123197134744255,0.16426404359246582,0.06684382584490914,,
human,Model_3alpha,15,149.57197032046204,325.4609454889645,11.299974228145308,0.043980537857274356,0.030646480953983913,0.0009315979268885214,,
human,Model_3alpha,16,163.9103427539153,354.13769035587103,3.871235037933698,0.14522805815085388,0.2632769693056772,0.11166137744053777,,
human,Model_3alpha,17,104.31576263054517,234.94853010913073,5.139824921287648,0.18045989279204844,0.28130136842835607,0.043834827310123385,,
human,Model_3alpha,18,265.44075998547237,557.1985248189851,1.7175153804478112,0.001289010986292621,0.5045184263337753,0.002033063513953199,,
human,Model_3alpha,19,106.2582476506213,238.833500149283,5.966548222833635,0.15100161846365895,0.27974162945890635,0.11891327334907081,,
human,Model_3alpha,20,306.9319353535159,640.1808755550721,0.624962829610341,0.730264091070249,0.9055654655567952,0.9743746478265198,,
human,Model_3alpha,21,255.34531868421746,537.0076422164753,2.5158732433181203,0.015808208461545976,0.1839677359344689,0.036677950119511006,,
human,Model_3alpha,22,113.8233576329967,253.9637201140338,3.404506838270839,0.0011793886441240577,0.901074166959635,0.0038166848219121207,,
human,Model_3alpha,23,272.54686880223335,571.4107424525071,1.3639577615393885,0.5829053686968453,0.2623298302047254,0.9846102697638126,,
human,Model_4alpha,0,283.0581593157813,599.0125746916132,2.174834714596247,,0.07079703073745405,0.0011180042378873584,0.003542306851340213,0.5170844748309816
human,Model_4alpha,1,70.0477350845559,172.99172622916228,6.2137091483033595,,0.3297149793398518,0.11481152747812513,0.13666818612960813,0.23478989674254422
human,Model_4alpha,2,123.84030955961843,280.57687517928736,5.77811476897592,,0.2012599147157043,0.21118233291703406,0.006227069374689106,0.18396086220547872
