,run,trials_idx,context,actions,rewards
0,0,0,2.0,0.0,0.0
1,0,1,3.0,1.0,1.0
2,0,2,3.0,1.0,1.0
3,0,3,2.0,0.0,0.0
4,0,4,0.0,1.0,0.0
5,0,5,0.0,0.0,0.0
6,0,6,1.0,0.0,1.0
7,0,7,2.0,0.0,0.0
8,0,8,3.0,1.0,0.0
9,0,9,2.0,1.0,0.0
10,0,10,3.0,0.0,1.0
11,0,11,0.0,0.0,1.0
12,0,12,1.0,0.0,1.0
13,0,13,1.0,0.0,1.0
14,0,14,0.0,0.0,0.0
15,0,15,1.0,1.0,1.0
16,0,16,0.0,1.0,0.0
17,0,17,0.0,0.0,0.0
18,0,18,1.0,1.0,0.0
19,0,19,1.0,0.0,1.0
20,0,20,2.0,0.0,1.0
21,0,21,2.0,0.0,0.0
22,0,22,1.0,0.0,1.0
23,0,23,2.0,1.0,1.0
24,0,24,1.0,0.0,0.0
25,0,25,0.0,1.0,0.0
26,0,26,3.0,0.0,0.0
27,0,27,3.0,1.0,1.0
28,0,28,3.0,1.0,1.0
29,0,29,0.0,1.0,1.0
30,0,30,3.0,0.0,1.0
31,0,31,2.0,1.0,1.0
32,0,32,1.0,0.0,1.0
33,0,33,2.0,1.0,1.0
34,0,34,3.0,0.0,1.0
35,0,35,2.0,1.0,1.0
36,0,36,3.0,0.0,1.0
37,0,37,1.0,0.0,1.0
38,0,38,3.0,0.0,0.0
39,0,39,1.0,0.0,0.0
40,0,40,2.0,1.0,1.0
41,0,41,1.0,1.0,0.0
42,0,42,0.0,1.0,0.0
43,0,43,0.0,0.0,1.0
44,0,44,0.0,0.0,0.0
45,0,45,0.0,1.0,0.0
46,0,46,3.0,0.0,1.0
47,0,47,2.0,1.0,0.0
48,0,48,2.0,0.0,0.0
49,0,49,0.0,0.0,0.0
50,0,50,3.0,0.0,0.0
51,0,51,0.0,1.0,0.0
52,0,52,3.0,0.0,1.0
53,0,53,3.0,0.0,1.0
54,0,54,0.0,0.0,1.0
55,0,55,1.0,0.0,1.0
56,0,56,1.0,0.0,1.0
57,0,57,1.0,0.0,1.0
58,0,58,3.0,0.0,1.0
59,0,59,1.0,0.0,0.0
60,0,60,2.0,1.0,1.0
61,0,61,2.0,1.0,0.0
62,0,62,0.0,0.0,0.0
63,0,63,2.0,1.0,1.0
64,0,64,0.0,1.0,0.0
65,0,65,2.0,1.0,0.0
66,0,66,2.0,0.0,0.0
67,0,67,1.0,0.0,1.0
68,0,68,3.0,0.0,1.0
69,0,69,0.0,1.0,0.0
70,0,70,0.0,0.0,1.0
71,0,71,3.0,0.0,1.0
72,0,72,3.0,0.0,0.0
73,0,73,2.0,1.0,1.0
74,0,74,2.0,1.0,1.0
75,0,75,0.0,0.0,0.0
76,0,76,1.0,0.0,1.0
77,0,77,3.0,0.0,1.0
78,0,78,1.0,0.0,0.0
79,0,79,1.0,0.0,1.0
80,0,80,3.0,0.0,1.0
81,0,81,3.0,0.0,1.0
82,0,82,2.0,1.0,0.0
83,0,83,0.0,0.0,0.0
84,0,84,2.0,0.0,0.0
85,0,85,1.0,0.0,1.0
86,0,86,1.0,0.0,0.0
87,0,87,3.0,0.0,0.0
88,0,88,1.0,1.0,0.0
89,0,89,3.0,0.0,1.0
90,0,90,0.0,1.0,1.0
91,0,91,2.0,0.0,0.0
92,0,92,0.0,1.0,0.0
93,0,93,0.0,1.0,0.0
94,0,94,2.0,1.0,1.0
95,0,95,1.0,0.0,1.0
96,1,0,0.0,1.0,0.0
97,1,1,3.0,1.0,1.0
98,1,2,1.0,0.0,1.0
99,1,3,0.0,0.0,0.0
100,1,4,1.0,1.0,0.0
101,1,5,0.0,1.0,1.0
102,1,6,2.0,0.0,1.0
103,1,7,1.0,0.0,0.0
104,1,8,0.0,1.0,0.0
105,1,9,1.0,0.0,1.0
106,1,10,2.0,0.0,0.0
107,1,11,3.0,1.0,1.0
108,1,12,2.0,1.0,1.0
109,1,13,3.0,1.0,0.0
110,1,14,2.0,1.0,1.0
111,1,15,3.0,1.0,1.0
112,1,16,1.0,0.0,0.0
113,1,17,0.0,1.0,0.0
114,1,18,2.0,1.0,0.0
115,1,19,3.0,1.0,0.0
116,1,20,0.0,1.0,0.0
117,1,21,2.0,1.0,1.0
118,1,22,2.0,1.0,1.0
119,1,23,3.0,1.0,1.0
120,1,24,0.0,0.0,1.0
121,1,25,1.0,0.0,1.0
122,1,26,1.0,0.0,1.0
123,1,27,0.0,0.0,0.0
124,1,28,3.0,1.0,1.0
125,1,29,3.0,1.0,1.0
126,1,30,2.0,1.0,1.0
