agent,cognitive_model,run,nll,bic,beta,alpha_forced,alpha_pos_free,alpha_neg_free,alpha_pos_forced,alpha_neg_forced
claude-1,Model_3alpha,0,13.407765797045911,51.510676009699566,15.597139979383908,0.0619121183952763,0.2337988960122006,0.04166351200074144,,
claude-1,Model_3alpha,1,43.4102436617669,111.51563173914154,8.811267610456541,0.03316439643966969,0.11890910571085776,0.03921336861439314,,
claude-1,Model_3alpha,2,27.026654893489912,78.74845420258757,13.784586285773667,0.08450328478922924,0.33455614936233785,0.17588184828034342,,
claude-1,Model_3alpha,3,45.975725250230504,116.64659491606875,8.264752714911943,0.017600033441253504,0.14350492512267238,0.02077420789158765,,
claude-1,Model_3alpha,4,8.141404170106755,40.977952755821256,14.037724627066114,0.11484177353154257,0.573557744936686,0.08673711303044836,,
claude-1,Model_3alpha,5,7.4731336660771195,39.641411747761985,11.269360882603513,0.11213044565111424,0.7138913571907748,0.04875764619157926,,
claude-1,Model_3alpha,6,20.513063192307413,65.72127080022257,14.357707646990288,0.08147574203814545,0.2863962817937694,0.0997885599553473,,
claude-1,Model_3alpha,7,34.92991908001099,94.55498257562972,11.405197511900768,0.10303380254920778,0.19645497976050144,0.12960174664108537,,
claude-1,Model_3alpha,8,29.910489248681657,84.51612291297106,14.173489505396011,0.07797957800626645,0.12254061858883648,0.05196553566100057,,
claude-1,Model_3alpha,9,18.052174204289816,60.79949282418738,18.935638632608136,0.02880163281476179,0.19846931712208943,0.041654490495697916,,
claude-1,Model_3alpha,10,28.714820343701142,82.12478510301003,12.520446070887388,0.09872445561529206,0.08735685602885693,0.08807192627702441,,
claude-1,Model_3alpha,11,22.216039728481167,69.12722387257008,11.910308788223366,0.07522679133882809,0.28260993274702406,0.13738765412719595,,
claude-1,Model_3alpha,12,19.802752931616247,64.30065027884024,16.359917934568887,0.06526027032009339,0.08398620274096982,0.02075210120818902,,
claude-1,Model_3alpha,13,37.97691440977803,100.64897323516381,9.207506355827034,0.30116210255806364,0.9757099347567241,0.09432703805296251,,
claude-1,Model_3alpha,14,36.092861978010866,96.88086837162948,9.097936786134563,0.13445988656473204,0.3459709331475875,0.11209307752724229,,
