agent,cognitive_model,run,nll,bic,beta,alpha_conf,alpha_disconf,alpha_pos_chosen,alpha_pos_unchosen,alpha_neg_chosen,alpha_neg_unchosen
claude-1,Model_2alpha,0,25.850685053547515,71.08577463615617,5.79445487605723,0.23637297147542202,0.032221023607524116,,,,
claude-1,Model_2alpha,1,37.64190927340669,94.66822307587452,4.471078196466677,0.16516433689521254,0.023475553931414563,,,,
claude-1,Model_2alpha,2,18.702426021610364,56.78925657228188,6.017127652120871,0.4102653913748872,0.14637336838547912,,,,
claude-1,Model_2alpha,3,31.079202198908384,81.54280892687791,2.7683898659513146,0.5711739586656589,0.03157868786312431,,,,
claude-1,Model_2alpha,4,29.93675611631654,79.25791676169423,5.072955433119369,0.20691662892675025,0.02510070587040744,,,,
claude-1,Model_2alpha,5,32.48045224122551,84.34530901151217,5.390207069959072,0.2129056119915764,0.026037473613058346,,,,
claude-1,Model_2alpha,6,26.7459851447588,72.87637481857875,4.668207118225874,0.28116383133732,0.08462649742178294,,,,
claude-1,Model_2alpha,7,30.492515887726384,80.36943630451393,9.723703661154419,0.20853076796264108,0.15590534706357717,,,,
claude-1,Model_2alpha,8,27.483366190147503,74.35113690935616,9.092709321925618,0.168409358003291,0.1091250406716131,,,,
claude-1,Model_2alpha,9,25.333647388775713,70.05169930661258,4.745893936523079,0.6642737011011918,0.2380112021061776,,,,
claude-1,Model_2alpha,10,25.95825217624672,71.30090888155459,5.722880051706341,0.3311135209485297,0.14724207437910464,,,,
claude-1,Model_2alpha,11,43.25088830525556,105.88618113957227,5.060653013462456,0.28490035192698887,0.11363481073096886,,,,
claude-1,Model_2alpha,12,17.2708982273965,53.92620098385415,10.809160765876607,0.3375575480286764,0.2196003201024838,,,,
claude-1,Model_2alpha,13,12.285421917771247,43.95524836460365,6.177345413806963,0.4271202106737519,0.12898841849422282,,,,
claude-1,Model_2alpha,14,36.39693906297546,92.17828265501208,3.793042574279641,0.5623668080108439,0.21192732046914578,,,,
claude-1,Model_2alpha,15,35.97556244761864,91.33552942429844,5.115183035572528,0.2823590917092344,0.15160493877077486,,,,
claude-1,Model_2alpha,16,18.847120198320138,57.078644925701425,5.537126093918303,0.34707375723980316,0.15564434667653537,,,,
claude-1,Model_2alpha,17,29.867598891972616,79.11960231300638,3.4981492774740794,0.6245370546335005,0.13725527732007567,,,,
claude-1,Model_2alpha,18,21.62689121643143,62.63818696192401,8.026260734921328,0.22018441384377713,0.1293538201684152,,,,
claude-1,Model_2alpha,19,18.662279995555284,56.70896452017172,11.843849651577244,0.18708011793760426,0.069816698549652,,,,
claude-1,Model_2alpha,20,21.540892551525435,62.46618963211202,6.215368123470963,0.25419472336945986,0.06306410958609972,,,,
claude-1,Model_2alpha,21,14.88362557862689,49.15165568631493,8.451839116578782,0.232900450265401,0.10598839157153833,,,,
claude-1,Model_2alpha,22,37.858137738267395,95.10068000559593,3.8534495231535204,0.3639483090699567,0.05859406856445985,,,,
claude-1,Model_2alpha,23,38.79358186088089,96.97156825082294,12.909432061604885,0.11503166389234168,0.0869103824486813,,,,
