agent,cognitive_model,run,nll,bic,beta,alpha,alpha_pos,alpha_neg
claude-1,Model_1alpha,0,79.63520566280677,172.19334767832098,5.098932212234886,0.10455333800146768,,
claude-1,Model_1alpha,1,92.31661365534428,197.556163663396,1.0671816756718346,0.836221425394135,,
claude-1,Model_1alpha,2,85.01344064707902,182.94981764686548,1.4355680359658454,0.7919721739183334,,
claude-1,Model_1alpha,3,81.68931521895914,176.3015667906257,5.047481482334431,0.11630966047163768,,
claude-1,Model_1alpha,4,69.29778966387168,151.5185156804508,3.001193658102803,0.44136882992075965,,
claude-1,Model_1alpha,5,79.63238443627463,172.1877052252567,1.4694874426246718,0.9676101265437069,,
claude-1,Model_1alpha,6,80.72153716691749,174.3660106865424,9.015313424876984,0.045933155505137234,,
claude-1,Model_1alpha,7,60.82266062978188,134.5682576122712,7.3557431324502245,0.13951815307917204,,
claude-1,Model_1alpha,8,41.45063275959025,95.82420187188794,14.948435875833875,0.07092305345036014,,
claude-1,Model_1alpha,9,61.240590789463376,135.40411793163418,3.02623694811717,0.6865577375065982,,
claude-1,Model_1alpha,10,75.89258297850236,164.70810230971216,3.2053567644603356,0.23169964291755815,,
claude-1,Model_1alpha,11,66.55437780655963,146.0316919658267,2.607169384029914,0.5227558259702445,,
claude-1,Model_1alpha,12,86.9323571321446,186.78765061699664,1.0471635153614367,0.9878863018721906,,
claude-1,Model_1alpha,13,50.31700099299127,113.55693833868997,4.695886551154543,0.4029329831206469,,
claude-1,Model_1alpha,14,59.00119881939398,130.9253339914954,6.576464577266204,0.17812967743554006,,
claude-1,Model_1alpha,15,67.92176640977907,148.76646917226557,2.482918204473761,0.6704007049767045,,
claude-1,Model_1alpha,16,100.01359713900136,212.95013063071016,5.395344626649827,0.04562230805621062,,
claude-1,Model_1alpha,17,39.90501704423192,92.73297044117128,7.6813408511008205,0.20466637960503392,,
claude-1,Model_1alpha,18,51.70439687389676,116.33173010050096,6.018596779413881,0.20281411702639981,,
claude-1,Model_1alpha,19,56.200803275573385,125.32454290385421,3.4430410682726285,0.5284446644944256,,
claude-1,Model_1alpha,20,71.05455045897332,155.0320372706541,3.242955863389073,0.3787440395088077,,
claude-1,Model_1alpha,21,63.87798899278153,140.6789143382705,3.9868736857947593,0.32833004239083485,,
claude-1,Model_1alpha,22,76.77177085448338,166.4664780616742,1.8918786406953998,0.6549562011239258,,
claude-1,Model_1alpha,23,38.87142747197963,90.6657912966667,10.251332935426406,0.1977992267108328,,
claude-1,Model_2alpha,0,39.728805332950934,98.84201519496301,8.732304037146159,,0.3064675905894815,0.09584351848161932
claude-1,Model_2alpha,1,44.96217660665078,109.3087577423627,5.9917830309588975,,0.31132570841864265,0.05036120914258745
claude-1,Model_2alpha,2,34.340047269199026,88.0644990674592,3.114847576662539,,0.9999999999,0.06633351493213971
claude-1,Model_2alpha,3,47.92697295211153,115.23835043328421,8.694170396215615,,0.10669436063286833,0.0030203609697654083
claude-1,Model_2alpha,4,41.0754539252818,101.53531237962474,4.525080460901364,,0.9682809622509294,0.021080566654964685
claude-1,Model_2alpha,5,41.38398917656024,102.15238288218163,4.32540956161244,,0.511226784917581,0.00227059891178406
claude-1,Model_2alpha,6,21.605238531090638,62.59488159124243,9.14402857120626,,0.33918073466244664,0.05137784030509345
claude-1,Model_2alpha,7,24.54421204947849,68.47282862801814,6.815662542998678,,0.7857276767608348,0.029511643544424385
claude-1,Model_2alpha,8,16.47038606107929,52.32517665121973,6.830049779079979,,0.8134945444661517,0.013225067722222586
claude-1,Model_2alpha,9,38.741030947787806,96.86646642463677,4.632031651343011,,0.9845969895992385,0.19311306088747487
claude-1,Model_2alpha,10,25.5545037006549,70.49341193037095,7.930757014383823,,0.41281460744703014,0.03840790543463446
claude-1,Model_2alpha,11,28.180541457397112,75.74548744385538,5.34136342283278,,0.8260947723043133,0.13313710495214498
claude-1,Model_2alpha,12,33.53324865940852,86.45090184787819,7.85510597137168,,0.25069699992843864,0.00014021708149031603
claude-1,Model_2alpha,13,44.95885951708908,109.30212356323932,6.897582100243625,,0.12804840610606963,0.0010823957347442536
claude-1,Model_2alpha,14,31.020393389781425,81.425191308624,8.806471243941164,,0.454713894342666,0.13715621101407757
claude-1,Model_2alpha,15,53.60755044333716,126.59950541573548,3.926195474758985,,0.6358567228677755,0.07166294832888209
claude-1,Model_2alpha,16,28.404800814735008,76.19400615853117,8.095652533253947,,0.23223519138167623,0.001385691377989895
claude-1,Model_2alpha,17,27.51096176396321,74.40632805698758,8.19520094535591,,0.2133473782004526,0.0646445623897836
claude-1,Model_2alpha,18,47.6143734014522,114.61315133196555,6.2761842063221485,,0.24706429347512146,0.11296361464783417
claude-1,Model_2alpha,19,43.74042425521065,106.86525303948244,6.505093896268113,,0.2742610848354908,0.033680493381126005
claude-1,Model_2alpha,20,24.628026108779334,68.64045674661982,6.7832314751761125,,0.5001715458898477,0.0454831252517874
claude-1,Model_2alpha,21,35.87075828179282,91.12592109264679,4.590895769390506,,0.932729873847589,0.1864101123410832
claude-1,Model_2alpha,22,38.21257293573007,95.80955040052129,7.421085710140603,,0.3227143931825399,0.030489706947609885
claude-1,Model_2alpha,23,34.480706680891444,88.34581789084405,7.693331898587423,,0.32207356617679245,0.17676593765203052
