,run,trial,casino,mean0,mean1,reward0,reward1,choice,rewards
0,6,0,4,0.75,0.75,1.0,0.0,0,1.0
1,6,1,2,0.25,0.75,0.0,1.0,0,0.0
2,6,2,3,0.75,0.25,1.0,0.0,1,0.0
3,6,3,1,0.25,0.25,1.0,0.0,1,0.0
4,6,4,1,0.25,0.25,1.0,1.0,0,1.0
5,6,5,1,0.25,0.25,1.0,0.0,0,1.0
6,6,6,1,0.25,0.25,0.0,0.0,0,0.0
7,6,7,4,0.75,0.75,1.0,1.0,0,1.0
8,6,8,3,0.75,0.25,1.0,1.0,0,1.0
9,6,9,3,0.75,0.25,1.0,0.0,0,1.0
10,6,10,2,0.25,0.75,0.0,1.0,1,1.0
11,6,11,4,0.75,0.75,0.0,1.0,0,0.0
12,6,12,3,0.75,0.25,1.0,0.0,0,1.0
13,6,13,4,0.75,0.75,1.0,0.0,0,1.0
14,6,14,1,0.25,0.25,0.0,0.0,0,0.0
15,6,15,4,0.75,0.75,1.0,0.0,0,1.0
16,6,16,2,0.25,0.75,1.0,1.0,1,1.0
17,6,17,1,0.25,0.25,0.0,0.0,0,0.0
18,6,18,1,0.25,0.25,1.0,1.0,0,1.0
19,6,19,4,0.75,0.75,1.0,1.0,0,1.0
20,6,20,4,0.75,0.75,1.0,1.0,0,1.0
21,6,21,1,0.25,0.25,1.0,0.0,0,1.0
22,6,22,3,0.75,0.25,0.0,1.0,0,0.0
23,6,23,2,0.25,0.75,0.0,0.0,1,0.0
24,6,24,3,0.75,0.25,1.0,0.0,0,1.0
25,6,25,1,0.25,0.25,0.0,1.0,0,0.0
26,6,26,4,0.75,0.75,1.0,1.0,0,1.0
27,6,27,4,0.75,0.75,1.0,0.0,0,1.0
28,6,28,4,0.75,0.75,1.0,0.0,0,1.0
29,6,29,4,0.75,0.75,1.0,1.0,0,1.0
30,6,30,4,0.75,0.75,0.0,1.0,0,0.0
31,6,31,3,0.75,0.25,1.0,1.0,0,1.0
32,6,32,3,0.75,0.25,1.0,0.0,0,1.0
33,6,33,2,0.25,0.75,0.0,1.0,1,1.0
34,6,34,2,0.25,0.75,0.0,1.0,1,1.0
35,6,35,2,0.25,0.75,0.0,1.0,1,1.0
36,6,36,2,0.25,0.75,1.0,1.0,1,1.0
37,6,37,3,0.75,0.25,1.0,1.0,0,1.0
38,6,38,2,0.25,0.75,0.0,0.0,1,0.0
39,6,39,1,0.25,0.25,1.0,0.0,0,1.0
40,6,40,1,0.25,0.25,0.0,0.0,0,0.0
41,6,41,3,0.75,0.25,0.0,0.0,0,0.0
42,6,42,3,0.75,0.25,1.0,1.0,0,1.0
43,6,43,2,0.25,0.75,1.0,0.0,1,0.0
44,6,44,3,0.75,0.25,1.0,0.0,0,1.0
45,6,45,1,0.25,0.25,0.0,0.0,0,0.0
46,6,46,4,0.75,0.75,1.0,1.0,0,1.0
47,6,47,1,0.25,0.25,0.0,1.0,0,0.0
48,6,48,2,0.25,0.75,0.0,1.0,1,1.0
49,6,49,4,0.75,0.75,0.0,1.0,0,0.0
50,6,50,4,0.75,0.75,1.0,1.0,0,1.0
51,6,51,1,0.25,0.25,1.0,0.0,0,1.0
52,6,52,2,0.25,0.75,0.0,0.0,1,0.0
53,6,53,4,0.75,0.75,1.0,1.0,0,1.0
54,6,54,3,0.75,0.25,1.0,0.0,0,1.0
55,6,55,2,0.25,0.75,0.0,1.0,1,1.0
56,6,56,1,0.25,0.25,0.0,0.0,0,0.0
57,6,57,2,0.25,0.75,0.0,0.0,1,0.0
58,6,58,2,0.25,0.75,0.0,1.0,1,1.0
59,6,59,4,0.75,0.75,1.0,1.0,0,1.0
60,6,60,4,0.75,0.75,1.0,1.0,0,1.0
