agent,cognitive_model,run,nll,bic,beta,alpha,alpha_pos,alpha_neg
claude-2.1,Model_1alpha,0,27.77881239270405,64.68632116834377,9.273892284525084,0.3345955499759449,,
claude-2.1,Model_1alpha,1,52.308037116971406,113.74477061687848,4.849667134172858,0.24247292599406092,,
claude-2.1,Model_1alpha,2,60.74403631578559,130.61676901450687,2.2169654701517745,0.7550755993206015,,
claude-2.1,Model_1alpha,3,47.96690981439486,105.06251601172539,2.088002566997152,0.9582154881004544,,
claude-2.1,Model_1alpha,4,26.49140388852433,62.111504159984335,16.265235397813555,0.1244540030235942,,
claude-2.1,Model_1alpha,5,59.774097891979764,128.6768921668952,3.3276555493024564,0.175798776636258,,
claude-2.1,Model_1alpha,6,35.11316281094503,79.35502200482573,18.050726553504738,0.10572733377935511,,
claude-2.1,Model_1alpha,7,59.251267538317464,127.6312314595706,6.482825129143921,0.109533981332076,,
claude-2.1,Model_1alpha,8,66.4773680103593,142.08343240365429,3.2704140058983193,0.0781354444524695,,
claude-2.1,Model_1alpha,9,59.09863183339504,127.32596004972575,5.103249640359151,0.10273171212420669,,
claude-2.1,Model_1alpha,10,53.527800168902274,116.18429672074022,2.376823101669708,0.595028445774418,,
claude-2.1,Model_1alpha,11,65.14783720734583,139.42437079762732,1.0218909539336445,0.909224147025039,,
claude-2.1,Model_1alpha,12,68.08251606923983,145.29372852141535,0.44707887769542304,0.9371907785229959,,
claude-2.1,Model_1alpha,13,69.07530538640057,147.27930715573683,0.48349242305355333,0.004587006512882368,,
claude-2.1,Model_1alpha,14,58.3734065215357,125.87550942600707,4.499820319377829,0.1664819067557979,,
claude-2.1,Model_1alpha,15,56.879175266618596,122.88704691617286,2.908961106905637,0.595976569760324,,
claude-2.1,Model_1alpha,16,68.95942229201562,147.0475409669669,0.5032503215277019,0.012967887981856706,,
claude-2.1,Model_1alpha,17,68.53388026422982,146.19645691139533,0.3669833325276718,0.4707661037055535,,
