,run,trial,casino,mean0,mean1,reward0,reward1,choice,rewards
0,29,0,1,0.25,0.25,1.0,1.0,0,1.0
1,29,1,4,0.75,0.75,1.0,1.0,0,1.0
2,29,2,2,0.25,0.75,0.0,1.0,1,1.0
3,29,3,3,0.75,0.25,0.0,0.0,1,0.0
4,29,4,1,0.25,0.25,0.0,0.0,0,0.0
5,29,5,1,0.25,0.25,1.0,0.0,0,1.0
6,29,6,2,0.25,0.75,1.0,1.0,1,1.0
7,29,7,1,0.25,0.25,1.0,1.0,0,1.0
8,29,8,4,0.75,0.75,1.0,0.0,0,1.0
9,29,9,4,0.75,0.75,0.0,1.0,0,0.0
10,29,10,4,0.75,0.75,0.0,1.0,0,0.0
11,29,11,4,0.75,0.75,0.0,1.0,0,0.0
12,29,12,3,0.75,0.25,1.0,0.0,0,1.0
13,29,13,3,0.75,0.25,1.0,0.0,0,1.0
14,29,14,1,0.25,0.25,0.0,0.0,0,0.0
15,29,15,4,0.75,0.75,1.0,1.0,0,1.0
16,29,16,1,0.25,0.25,1.0,1.0,0,1.0
17,29,17,2,0.25,0.75,0.0,1.0,1,1.0
18,29,18,1,0.25,0.25,0.0,0.0,0,0.0
19,29,19,3,0.75,0.25,0.0,0.0,0,0.0
20,29,20,4,0.75,0.75,0.0,1.0,0,0.0
21,29,21,1,0.25,0.25,0.0,0.0,0,0.0
22,29,22,4,0.75,0.75,1.0,1.0,0,1.0
23,29,23,2,0.25,0.75,1.0,1.0,1,1.0
24,29,24,1,0.25,0.25,0.0,0.0,0,0.0
25,29,25,2,0.25,0.75,1.0,0.0,1,0.0
26,29,26,4,0.75,0.75,1.0,0.0,0,1.0
27,29,27,3,0.75,0.25,0.0,0.0,0,0.0
28,29,28,4,0.75,0.75,1.0,1.0,0,1.0
29,29,29,4,0.75,0.75,1.0,1.0,0,1.0
30,29,30,4,0.75,0.75,1.0,1.0,0,1.0
31,29,31,1,0.25,0.25,0.0,0.0,0,0.0
32,29,32,1,0.25,0.25,0.0,0.0,0,0.0
33,29,33,2,0.25,0.75,0.0,0.0,1,0.0
34,29,34,4,0.75,0.75,1.0,1.0,0,1.0
35,29,35,4,0.75,0.75,1.0,1.0,0,1.0
36,29,36,4,0.75,0.75,1.0,1.0,0,1.0
37,29,37,2,0.25,0.75,0.0,1.0,1,1.0
38,29,38,2,0.25,0.75,0.0,1.0,1,1.0
39,29,39,2,0.25,0.75,0.0,1.0,1,1.0
40,29,40,3,0.75,0.25,0.0,0.0,0,0.0
41,29,41,3,0.75,0.25,1.0,0.0,0,1.0
42,29,42,2,0.25,0.75,1.0,1.0,1,1.0
43,29,43,1,0.25,0.25,0.0,0.0,0,0.0
44,29,44,2,0.25,0.75,0.0,1.0,1,1.0
45,29,45,2,0.25,0.75,0.0,1.0,1,1.0
46,29,46,2,0.25,0.75,1.0,1.0,1,1.0
47,29,47,4,0.75,0.75,1.0,0.0,0,1.0
48,29,48,3,0.75,0.25,1.0,0.0,0,1.0
49,29,49,2,0.25,0.75,0.0,0.0,1,0.0
50,29,50,1,0.25,0.25,1.0,1.0,0,1.0
51,29,51,2,0.25,0.75,0.0,1.0,1,1.0
52,29,52,1,0.25,0.25,0.0,0.0,0,0.0
53,29,53,4,0.75,0.75,0.0,1.0,0,0.0
54,29,54,2,0.25,0.75,0.0,1.0,1,1.0
55,29,55,3,0.75,0.25,1.0,0.0,0,1.0
56,29,56,2,0.25,0.75,0.0,0.0,1,0.0
57,29,57,3,0.75,0.25,1.0,0.0,0,1.0
58,29,58,2,0.25,0.75,0.0,1.0,1,1.0
59,29,59,1,0.25,0.25,0.0,1.0,0,0.0
60,29,60,3,0.75,0.25,1.0,0.0,0,1.0
61,29,61,4,0.75,0.75,1.0,1.0,0,1.0
62,29,62,3,0.75,0.25,1.0,0.0,0,1.0
63,29,63,2,0.25,0.75,0.0,0.0,1,0.0
64,29,64,4,0.75,0.75,1.0,1.0,0,1.0
65,29,65,3,0.75,0.25,1.0,0.0,0,1.0
66,29,66,2,0.25,0.75,0.0,1.0,1,1.0
67,29,67,3,0.75,0.25,1.0,0.0,0,1.0
68,29,68,3,0.75,0.25,1.0,0.0,0,1.0
69,29,69,2,0.25,0.75,1.0,1.0,1,1.0
70,29,70,1,0.25,0.25,1.0,0.0,0,1.0
71,29,71,2,0.25,0.75,0.0,0.0,1,0.0
72,29,72,3,0.75,0.25,1.0,1.0,0,1.0
73,29,73,1,0.25,0.25,0.0,0.0,0,0.0
74,29,74,1,0.25,0.25,1.0,1.0,0,1.0
75,29,75,1,0.25,0.25,0.0,1.0,0,0.0
76,29,76,3,0.75,0.25,1.0,0.0,0,1.0
77,29,77,3,0.75,0.25,0.0,0.0,0,0.0
78,29,78,1,0.25,0.25,0.0,0.0,0,0.0
79,29,79,4,0.75,0.75,1.0,1.0,0,1.0
80,29,80,1,0.25,0.25,1.0,1.0,0,1.0
81,29,81,2,0.25,0.75,0.0,1.0,1,1.0
82,29,82,3,0.75,0.25,0.0,0.0,0,0.0
