agent,cognitive_model,run,nll,bic,beta,alpha,alpha_pos,alpha_neg
claude-3-haiku-20240307,Model_1alpha,0,51.91313878383415,112.95497395060397,4.584915919629496,0.16779534902201484,,
claude-3-haiku-20240307,Model_1alpha,1,61.798038616764394,132.72477361646446,1.1442929250753509,0.9834187598314892,,
claude-3-haiku-20240307,Model_1alpha,2,69.08394247178613,147.29658132650792,0.0623855231953838,0.4039332819338694,,
claude-3-haiku-20240307,Model_1alpha,3,67.13894387144346,143.40658412582258,0.6995274187743695,0.914667460485095,,
claude-3-haiku-20240307,Model_1alpha,4,64.20272601508776,137.5341484131112,1.8183533909768475,0.33645559639843825,,
claude-3-haiku-20240307,Model_1alpha,5,69.00337439137688,147.13544516568942,0.473873426614057,0.009734435918496556,,
claude-3-haiku-20240307,Model_1alpha,6,1.9878884908537033,13.104473364643079,1.0000010530446675,0.49999758640919345,,
claude-3-haiku-20240307,Model_1alpha,7,64.69708574266937,138.52286786827443,1.9412344592657198,0.3421277618445235,,
claude-3-haiku-20240307,Model_1alpha,8,67.86395904067055,144.8566144642768,0.7479255891264106,0.5310382965443423,,
claude-3-haiku-20240307,Model_1alpha,9,68.49251657275184,146.11372952843936,0.440404026378338,0.4467266063385351,,
claude-3-haiku-20240307,Model_1alpha,10,57.76131240469841,124.65132119233249,2.2599683300235656,0.7803020508033157,,
claude-3-haiku-20240307,Model_1alpha,11,64.9032081334968,138.9351126499293,2.1815669762907897,0.18796944985637712,,
claude-3-haiku-20240307,Model_1alpha,12,29.40409684711951,67.9368900771747,9.091138915122961,0.33148389068014067,,
claude-3-haiku-20240307,Model_1alpha,13,68.7523064242794,146.63330923149448,0.41678692101436887,0.07770471059727324,,
claude-3-haiku-20240307,Model_1alpha,14,69.07780803633106,147.28431245559779,0.48976032395723423,0.004344542122609505,,
claude-3-haiku-20240307,Model_1alpha,15,68.98493588709886,147.0985681571334,0.09557246887914259,0.5427280374822978,,
claude-3-haiku-20240307,Model_1alpha,16,61.489575111108415,132.1078466051525,4.89274386181357,0.07142520177061315,,
claude-3-haiku-20240307,Model_1alpha,17,69.03130345926473,147.19130330146515,0.4858592243366191,0.007008902459577296,,
claude-3-haiku-20240307,Model_1alpha,18,37.72070519066425,84.57010676426417,5.939420631847583,0.5530716670389211,,
claude-3-haiku-20240307,Model_1alpha,19,55.404284770210296,119.93726592335626,9.128412111498298,0.06976136975984157,,
claude-3-haiku-20240307,Model_1alpha,20,51.08519978208189,111.29909594709945,7.741640064543928,0.13085544100242316,,
claude-3-haiku-20240307,Model_1alpha,21,66.63082630272923,142.39034898839412,1.2373084471512779,0.41046553839678435,,
claude-3-haiku-20240307,Model_1alpha,22,26.75922065482132,62.64713769257831,16.832509244134997,0.14671451357063456,,
claude-3-haiku-20240307,Model_1alpha,23,60.53516679743268,130.19902997780105,4.164245135769961,0.18493845115000143,,
claude-3-haiku-20240307,Model_1alpha,24,25.4626642217886,60.05402482651287,18.561050097750247,0.23365632010585902,,
claude-3-haiku-20240307,Model_1alpha,25,29.709830920002368,68.54835822294041,10.94597733453156,0.3231832041528412,,
claude-3-haiku-20240307,Model_1alpha,26,68.89464704309381,146.9179904691233,0.14284918555813167,0.46972976483683887,,
claude-3-haiku-20240307,Model_1alpha,27,52.97411507151368,115.07692652596303,5.744454279059801,0.23787825901477114,,
claude-3-haiku-20240307,Model_1alpha,28,56.77220366730914,122.67310371755396,3.093451881696888,0.26563721164410753,,
claude-3-haiku-20240307,Model_1alpha,29,55.950366438142964,121.0294292592216,9.093821188082487,0.05498438055929703,,
claude-3-haiku-20240307,Model_1alpha,30,68.99661710819043,147.12193059931656,0.48823847946979915,0.009666857959843742,,
claude-3-haiku-20240307,Model_1alpha,31,66.13256628537721,141.3938289536901,0.9020472739897872,0.8181109701963928,,
claude-3-haiku-20240307,Model_1alpha,32,54.021101324145,117.17089903122567,15.627577361159908,0.06770631670388659,,
claude-3-haiku-20240307,Model_1alpha,33,55.066826209888895,119.26234880271346,3.547768204449712,0.6965223905019707,,
claude-3-haiku-20240307,Model_1alpha,34,67.89151318753653,144.91172275800875,0.4842533817191699,0.9296547945680551,,
claude-3-haiku-20240307,Model_1alpha,35,59.32613546106929,127.78096730507426,6.0431189913780905,0.10013202642695893,,
claude-3-haiku-20240307,Model_1alpha,36,65.87973821921254,140.88817282136074,4.024001292963049,0.044816618515349516,,
claude-3-haiku-20240307,Model_1alpha,37,50.33051122237288,109.78971882768143,3.343252691782379,0.40674953085745547,,
claude-3-haiku-20240307,Model_1alpha,38,50.41886800029114,109.96643238351795,6.2855309287329755,0.21135090821116603,,
claude-3-haiku-20240307,Model_1alpha,39,55.56896865504946,120.26663369303459,2.595736139202892,0.5445020944110467,,
claude-3-haiku-20240307,Model_1alpha,40,31.96152536674089,73.05174711641746,9.090573838208812,0.4622067991237645,,
claude-3-haiku-20240307,Model_1alpha,41,61.30260514679857,131.7339066765328,3.1938729382831443,0.13493717730665353,,
