,run,trial,casino,mean0,mean1,reward0,reward1,choice,rewards
0,28,0,1,0.25,0.25,0.0,0.0,0,0.0
1,28,1,1,0.25,0.25,0.0,0.0,0,0.0
2,28,2,2,0.25,0.75,0.0,1.0,1,1.0
3,28,3,1,0.25,0.25,0.0,0.0,0,0.0
4,28,4,4,0.75,0.75,1.0,1.0,1,1.0
5,28,5,3,0.75,0.25,1.0,0.0,1,0.0
6,28,6,3,0.75,0.25,1.0,0.0,1,0.0
7,28,7,2,0.25,0.75,1.0,0.0,1,0.0
8,28,8,3,0.75,0.25,0.0,0.0,1,0.0
9,28,9,1,0.25,0.25,0.0,0.0,0,0.0
10,28,10,4,0.75,0.75,1.0,1.0,1,1.0
11,28,11,1,0.25,0.25,0.0,0.0,0,0.0
12,28,12,3,0.75,0.25,1.0,0.0,1,0.0
13,28,13,2,0.25,0.75,1.0,1.0,1,1.0
14,28,14,4,0.75,0.75,1.0,0.0,1,0.0
15,28,15,2,0.25,0.75,1.0,0.0,1,0.0
16,28,16,2,0.25,0.75,0.0,1.0,1,1.0
17,28,17,4,0.75,0.75,1.0,0.0,1,0.0
18,28,18,2,0.25,0.75,1.0,1.0,1,1.0
19,28,19,2,0.25,0.75,0.0,1.0,1,1.0
20,28,20,3,0.75,0.25,1.0,0.0,1,0.0
21,28,21,3,0.75,0.25,1.0,1.0,0,1.0
22,28,22,1,0.25,0.25,0.0,1.0,0,0.0
23,28,23,2,0.25,0.75,0.0,1.0,1,1.0
24,28,24,3,0.75,0.25,0.0,0.0,0,0.0
25,28,25,4,0.75,0.75,0.0,0.0,1,0.0
26,28,26,4,0.75,0.75,1.0,1.0,1,1.0
27,28,27,2,0.25,0.75,0.0,1.0,1,1.0
28,28,28,3,0.75,0.25,1.0,0.0,0,1.0
29,28,29,4,0.75,0.75,1.0,1.0,1,1.0
30,28,30,4,0.75,0.75,1.0,1.0,1,1.0
31,28,31,1,0.25,0.25,0.0,0.0,0,0.0
32,28,32,3,0.75,0.25,1.0,0.0,0,1.0
33,28,33,4,0.75,0.75,1.0,1.0,1,1.0
34,28,34,2,0.25,0.75,0.0,0.0,1,0.0
35,28,35,1,0.25,0.25,0.0,0.0,0,0.0
36,28,36,2,0.25,0.75,1.0,1.0,1,1.0
37,28,37,4,0.75,0.75,1.0,1.0,1,1.0
38,28,38,1,0.25,0.25,1.0,0.0,0,1.0
39,28,39,4,0.75,0.75,1.0,1.0,1,1.0
40,28,40,4,0.75,0.75,0.0,1.0,1,1.0
41,28,41,3,0.75,0.25,1.0,0.0,0,1.0
42,28,42,4,0.75,0.75,0.0,1.0,1,1.0
43,28,43,4,0.75,0.75,1.0,1.0,1,1.0
44,28,44,3,0.75,0.25,0.0,0.0,0,0.0
45,28,45,3,0.75,0.25,1.0,0.0,0,1.0
