agent,cognitive_model,run,nll,bic,beta,alpha,alpha_pos,alpha_neg
claude-3-sonnet-20240229,Model_1alpha,0,33.54277956509407,76.21425551312382,9.852987343242168,0.22209321353728476,,
claude-3-sonnet-20240229,Model_1alpha,1,58.62189469783341,126.3724857786025,2.726943936458468,0.3917501258040008,,
claude-3-sonnet-20240229,Model_1alpha,2,68.43831469461044,146.00532577215654,0.35319522073143333,0.9286448384599614,,
claude-3-sonnet-20240229,Model_1alpha,3,44.38001821695127,97.88873281683821,3.5529510900543926,0.5213221791292828,,
claude-3-sonnet-20240229,Model_1alpha,4,33.71937198342073,76.56744034977713,11.241996011174345,0.21950285945636305,,
claude-3-sonnet-20240229,Model_2alpha,0,19.11185892004663,51.916762414496766,10.705068453285062,,0.42652386096001316,0.02530795214810285
claude-3-sonnet-20240229,Model_2alpha,1,9.839617290491395,33.372279155386295,11.293989027705575,,0.8327842924065469,0.012257405916230665
claude-3-sonnet-20240229,Model_2alpha,2,10.711001076402058,35.11504672720763,11.29591602390935,,0.8943856926131354,0.0038438627871685994
claude-3-sonnet-20240229,Model_2alpha,3,10.921448092517608,35.53594075943872,11.550626099926198,,0.856596923276922,0.04739476325124717
claude-3-sonnet-20240229,Model_2alpha,4,17.539481315071104,48.772007204545716,10.590454352932557,,0.4527549247556689,0.04704233135121156
