,run,trial,casino,mean0,mean1,reward0,reward1,choice,rewards
0,21,0,1,0.25,0.25,0.0,0.0,0,0.0
1,21,1,1,0.25,0.25,0.0,0.0,0,0.0
2,21,2,1,0.25,0.25,0.0,0.0,1,0.0
3,21,3,1,0.25,0.25,0.0,0.0,0,0.0
4,21,4,4,0.75,0.75,1.0,0.0,1,0.0
5,21,5,4,0.75,0.75,0.0,1.0,0,0.0
6,21,6,1,0.25,0.25,1.0,0.0,0,1.0
7,21,7,2,0.25,0.75,0.0,1.0,1,1.0
8,21,8,2,0.25,0.75,0.0,0.0,1,0.0
9,21,9,2,0.25,0.75,0.0,0.0,1,0.0
10,21,10,1,0.25,0.25,0.0,0.0,0,0.0
11,21,11,2,0.25,0.75,0.0,1.0,1,1.0
12,21,12,1,0.25,0.25,0.0,0.0,0,0.0
13,21,13,1,0.25,0.25,1.0,0.0,1,0.0
14,21,14,4,0.75,0.75,1.0,1.0,1,1.0
15,21,15,4,0.75,0.75,1.0,0.0,1,0.0
16,21,16,3,0.75,0.25,1.0,0.0,0,1.0
17,21,17,4,0.75,0.75,1.0,0.0,1,0.0
18,21,18,2,0.25,0.75,1.0,0.0,1,0.0
19,21,19,2,0.25,0.75,0.0,0.0,1,0.0
20,21,20,4,0.75,0.75,1.0,1.0,1,1.0
21,21,21,2,0.25,0.75,0.0,1.0,1,1.0
22,21,22,2,0.25,0.75,1.0,1.0,1,1.0
23,21,23,4,0.75,0.75,1.0,1.0,1,1.0
24,21,24,3,0.75,0.25,1.0,1.0,0,1.0
25,21,25,3,0.75,0.25,1.0,0.0,0,1.0
26,21,26,4,0.75,0.75,1.0,1.0,1,1.0
27,21,27,3,0.75,0.25,0.0,0.0,0,0.0
28,21,28,2,0.25,0.75,0.0,0.0,1,0.0
29,21,29,4,0.75,0.75,1.0,1.0,1,1.0
30,21,30,3,0.75,0.25,1.0,0.0,0,1.0
31,21,31,2,0.25,0.75,1.0,1.0,1,1.0
32,21,32,3,0.75,0.25,0.0,1.0,0,0.0
33,21,33,4,0.75,0.75,1.0,1.0,1,1.0
34,21,34,2,0.25,0.75,1.0,1.0,1,1.0
35,21,35,2,0.25,0.75,0.0,1.0,1,1.0
36,21,36,1,0.25,0.25,0.0,0.0,0,0.0
37,21,37,4,0.75,0.75,0.0,0.0,1,0.0
38,21,38,4,0.75,0.75,1.0,1.0,1,1.0
39,21,39,3,0.75,0.25,0.0,0.0,0,0.0
40,21,40,4,0.75,0.75,1.0,1.0,1,1.0
41,21,41,1,0.25,0.25,0.0,0.0,0,0.0
42,21,42,1,0.25,0.25,1.0,0.0,0,1.0
43,21,43,4,0.75,0.75,1.0,0.0,1,0.0
44,21,44,2,0.25,0.75,0.0,1.0,1,1.0
45,21,45,1,0.25,0.25,0.0,1.0,0,0.0
