agent,cognitive_model,run,nll,bic,beta,alpha,alpha_pos,alpha_neg
gpt-4,Model_1alpha,0,30.054336493027854,69.23736936899138,12.959838602879787,0.20775148553074824,,
gpt-4,Model_1alpha,1,43.094592082713206,95.31788054836208,6.920904880943524,0.4419786121848065,,
gpt-4,Model_1alpha,2,41.26394855469101,91.6565934923177,3.9218124691204856,0.8340193880911314,,
gpt-4,Model_1alpha,3,28.504291938092415,66.1372802591205,8.858354548854532,0.7044994621312098,,
gpt-4,Model_1alpha,4,57.21586913601937,123.56043465497442,2.6362620801379575,0.5493256837015073,,
gpt-4,Model_1alpha,5,28.99158022134056,67.1118568256168,6.355335261959987,0.9877671603515915,,
gpt-4,Model_1alpha,6,23.151509637582933,55.43171565810154,19.038420351831356,0.15324099609875638,,
gpt-4,Model_1alpha,7,57.49182522810506,124.11234683914579,3.1691034472420525,0.49060358850184255,,
gpt-4,Model_1alpha,8,26.864192898171208,62.85708217927809,7.042782213178832,0.8648253325129253,,
gpt-4,Model_1alpha,9,36.744692011763426,82.61808040646252,10.03782030246213,0.27261408924647207,,
gpt-4,Model_1alpha,10,42.752757933040236,94.63421224901614,5.261143312104144,0.5743711580205322,,
gpt-4,Model_1alpha,11,56.45676988104214,122.04223614501996,3.9617358857266773,0.2550903256658027,,
gpt-4,Model_1alpha,12,29.66462141289849,68.45793920873265,5.388487648054942,0.7585166766875714,,
gpt-4,Model_1alpha,13,40.70916804733353,90.54703247760273,10.611072637282987,0.16447214131441923,,
gpt-4,Model_1alpha,14,27.970950559567594,65.07059750207085,10.761841896238764,0.31473993595589334,,
gpt-4,Model_1alpha,15,34.4584970018648,78.04569038666527,7.529005842412473,0.32238227513893297,,
gpt-4,Model_1alpha,16,30.601321002133297,70.33133838720227,21.94875023078426,0.06996356530126249,,
gpt-4,Model_1alpha,17,19.668429423718237,48.465555230372146,17.543277022587855,0.2261753771826593,,
gpt-4,Model_1alpha,18,48.722040839145485,106.57277806122664,4.702253684007424,0.5928065757172184,,
gpt-4,Model_1alpha,19,28.78173227485114,66.69216093263796,14.13478115546486,0.2462413006312231,,
gpt-4,Model_1alpha,20,29.70333730636491,68.53537099566549,8.672444024948653,0.3958307649124909,,
gpt-4,Model_1alpha,21,32.858390611744646,74.84547760642496,7.076139393783234,0.7618985111446869,,
gpt-4,Model_1alpha,22,26.886163007279954,62.90102239749558,10.624344639966225,0.3792961716104608,,
gpt-4,Model_1alpha,23,23.20355751856161,55.53581142005889,11.071613230471733,0.26227737119475564,,
gpt-4,Model_1alpha,24,29.3320825124791,67.79286140789387,6.673479369930985,0.929171870580548,,
gpt-4,Model_1alpha,25,38.20693473777969,85.54256585849505,4.3438954775351295,0.8862756939622299,,
gpt-4,Model_1alpha,26,52.69459366939644,114.51788372172855,3.9164519650050122,0.5959320483916446,,
gpt-4,Model_1alpha,27,62.84732856126187,134.8233535054594,1.595552766230237,0.7482467958472298,,
gpt-4,Model_1alpha,28,56.27134561853542,121.67138762000651,3.3243336493635014,0.9776563376764548,,
gpt-4,Model_1alpha,29,60.17599296793898,129.48068231881365,2.2147830270364257,0.9923684255797977,,
gpt-4,Model_1alpha,30,49.32122217827043,107.77114073947654,4.096764427852399,0.7227790703761725,,
gpt-4,Model_1alpha,31,29.455638462136896,68.03997330720946,9.434080890655112,0.5266823601433482,,
gpt-4,Model_1alpha,32,26.875281360909995,62.87925910475566,10.800978834369992,0.506454623820591,,
gpt-4,Model_1alpha,33,50.43059358092433,109.98988354478433,2.6327537296873933,0.8870723105359788,,
gpt-4,Model_1alpha,34,25.39699780978796,59.92269200251159,11.83119851335772,0.3191282896197776,,
gpt-4,Model_1alpha,35,48.84916008986858,106.82701656267284,3.725412107194955,0.42461596627109166,,
gpt-4,Model_1alpha,36,32.09899483450764,73.32668605195096,7.085958138716621,0.5050090338299578,,
gpt-4,Model_1alpha,37,42.891842710095986,94.91238180312764,7.551408553960044,0.40972092142938926,,
gpt-4,Model_1alpha,38,27.77723264302249,64.68316166898066,21.194938049560566,0.13999351975111807,,
gpt-4,Model_1alpha,39,25.888733048702953,60.90616248034158,27.287222464482948,0.07607215098313144,,
gpt-4,Model_1alpha,40,39.11572345956824,87.36014330207215,5.560295420758776,0.5669503052036532,,
gpt-4,Model_1alpha,41,42.01058263311682,93.14986164916931,4.367503212871009,0.5718109281319511,,
gpt-4,Model_1alpha,42,36.254891863955166,81.638480110846,5.436081876730702,0.6805531797900868,,
gpt-4,Model_1alpha,43,30.177247973811074,69.48319233055781,18.649923292844594,0.11323824813768676,,
gpt-4,Model_1alpha,44,38.5143956420068,86.15748766694927,6.748081145480867,0.48579279750176835,,
gpt-4,Model_1alpha,45,44.46881489905935,98.06632618105438,3.733173511447999,0.9774634458257336,,
gpt-4,Model_1alpha,46,22.812499775975148,54.75369593488597,12.339603938411607,0.36548862584638553,,
gpt-4,Model_1alpha,47,30.579655624989712,70.2880076329151,7.6780795321759205,0.47537136823712,,
gpt-4,Model_1alpha,48,30.371515609476962,69.8717276018896,5.345611731412961,0.7591453107112176,,
gpt-4,Model_1alpha,49,38.4615569257764,86.05181023448847,7.218867904692206,0.3769550086142779,,
gpt-4,Model_2alpha,0,18.243267875283802,50.17958032497111,17.61764384909675,,0.301026261274453,0.07155101495753864
gpt-4,Model_2alpha,1,11.249694026752394,36.192432627908296,11.819289333487907,,0.9277587321223644,0.0112112983987667
gpt-4,Model_2alpha,2,15.067862989004443,43.828770552412394,13.31971031035623,,0.9469520846447204,0.040724628907116325
gpt-4,Model_2alpha,3,26.4551435426276,66.6033316596587,8.195616050633037,,0.9815046479007332,0.5671547963310573
gpt-4,Model_2alpha,4,10.059024586066984,33.81109374653748,13.673969017199719,,0.5707953644911877,0.06480175295296182
gpt-4,Model_2alpha,5,10.06989582745489,33.83283622931329,12.708349856546294,,0.8533541030618225,0.049195396493111596
gpt-4,Model_2alpha,6,12.516341529342576,38.72572763308866,14.039287662862609,,0.8838108579821389,0.13048290203836305
gpt-4,Model_2alpha,7,15.690906899184508,45.074858372772525,14.020252711970496,,0.381944284249784,0.02140884492246919
gpt-4,Model_2alpha,8,12.583578501368493,38.860201577140494,9.489234068036378,,0.9410870928967937,0.0836425360370796
gpt-4,Model_2alpha,9,15.502020718218684,44.69708601084088,15.428697031687962,,0.33843882290173827,0.029654950375089948
