agent,cognitive_model,run,nll,bic,beta,alpha,alpha_pos,alpha_neg
llama-2-7-chat,Model_1alpha,0,69.0061819070789,147.14106019709345,0.48685905690430303,0.008929638283264015,,
llama-2-7-chat,Model_1alpha,1,48.04034466326116,105.20938570945799,6.177734766601234,0.21806062290197717,,
llama-2-7-chat,Model_1alpha,2,49.20616573744416,107.54102785782399,2.7008811057338384,0.9333829354838342,,
llama-2-7-chat,Model_1alpha,3,62.61352019125691,134.35573676544948,3.611310380513621,0.10769265975632579,,
llama-2-7-chat,Model_1alpha,4,67.85564491098684,144.83998620490934,0.5052527073502452,0.9440457018455441,,
llama-2-7-chat,Model_1alpha,5,1.9878884908621883,13.104473364660048,0.9999899855366201,0.500001495989989,,
llama-2-7-chat,Model_1alpha,6,64.74094473547244,138.61058585388054,1.932414248436519,0.39639796159035195,,
llama-2-7-chat,Model_1alpha,7,65.78908993378874,140.70687625051318,0.9118933987084898,0.8867130096418374,,
llama-2-7-chat,Model_1alpha,8,64.67659955177606,138.48189548648782,1.1386996750990839,0.8308156651858105,,
llama-2-7-chat,Model_1alpha,9,57.62190570446499,124.37250779186566,5.071929168063149,0.08208236915083365,,
llama-2-7-chat,Model_1alpha,10,69.10762315009914,147.34394268313395,0.48944559636658647,0.003230410443266359,,
llama-2-7-chat,Model_1alpha,11,64.34653747023297,137.8217713234016,2.4537723076922333,0.36283652520649795,,
llama-2-7-chat,Model_1alpha,12,64.2881876364889,137.70507165591346,3.244242991336209,0.14349150356455306,,
llama-2-7-chat,Model_1alpha,13,69.08508481161282,147.2988660061613,0.48209507963510695,0.004176597445843698,,
llama-2-7-chat,Model_1alpha,14,50.84380815627272,110.81631269548112,5.80661900002901,0.20351305726543845,,
llama-2-7-chat,Model_1alpha,15,51.268231405868555,111.66515919467278,4.752796551275283,0.23318619610623323,,
llama-2-7-chat,Model_1alpha,16,66.89188971574359,142.91247581442286,0.7294252023431225,0.7623055265513344,,
llama-2-7-chat,Model_1alpha,17,68.75024793148691,146.6291922459095,0.6994043569358337,0.03700968093331481,,
