,run,trial,casino,mean0,mean1,reward0,reward1,choice,rewards
0,9,0,2,0.25,0.75,0.0,1.0,0,0.0
1,9,1,1,0.25,0.25,0.0,0.0,1,0.0
2,9,2,4,0.75,0.75,1.0,1.0,0,1.0
3,9,3,4,0.75,0.75,0.0,1.0,0,0.0
4,9,4,1,0.25,0.25,0.0,0.0,1,0.0
5,9,5,2,0.25,0.75,0.0,0.0,0,0.0
6,9,6,3,0.75,0.25,1.0,0.0,0,1.0
7,9,7,2,0.25,0.75,0.0,1.0,0,0.0
8,9,8,1,0.25,0.25,0.0,0.0,1,0.0
9,9,9,1,0.25,0.25,0.0,0.0,1,0.0
10,9,10,1,0.25,0.25,0.0,0.0,1,0.0
11,9,11,4,0.75,0.75,1.0,1.0,0,1.0
12,9,12,2,0.25,0.75,0.0,1.0,0,0.0
13,9,13,3,0.75,0.25,1.0,0.0,0,1.0
14,9,14,3,0.75,0.25,1.0,0.0,0,1.0
15,9,15,4,0.75,0.75,1.0,1.0,0,1.0
16,9,16,3,0.75,0.25,1.0,0.0,0,1.0
17,9,17,3,0.75,0.25,1.0,0.0,0,1.0
18,9,18,3,0.75,0.25,1.0,1.0,0,1.0
19,9,19,4,0.75,0.75,1.0,1.0,0,1.0
20,9,20,4,0.75,0.75,0.0,0.0,0,0.0
21,9,21,3,0.75,0.25,0.0,1.0,0,0.0
22,9,22,3,0.75,0.25,1.0,0.0,0,1.0
23,9,23,3,0.75,0.25,0.0,0.0,0,0.0
24,9,24,3,0.75,0.25,1.0,0.0,0,1.0
25,9,25,1,0.25,0.25,1.0,1.0,1,1.0
26,9,26,2,0.25,0.75,0.0,1.0,0,0.0
27,9,27,2,0.25,0.75,0.0,0.0,0,0.0
28,9,28,1,0.25,0.25,0.0,0.0,1,0.0
29,9,29,4,0.75,0.75,1.0,0.0,0,1.0
30,9,30,3,0.75,0.25,0.0,1.0,0,0.0
31,9,31,1,0.25,0.25,0.0,0.0,1,0.0
32,9,32,1,0.25,0.25,1.0,1.0,1,1.0
33,9,33,4,0.75,0.75,0.0,0.0,0,0.0
34,9,34,2,0.25,0.75,0.0,1.0,0,0.0
35,9,35,4,0.75,0.75,0.0,1.0,0,0.0
36,9,36,1,0.25,0.25,1.0,1.0,1,1.0
37,9,37,1,0.25,0.25,0.0,1.0,1,1.0
38,9,38,2,0.25,0.75,0.0,0.0,0,0.0
39,9,39,2,0.25,0.75,1.0,1.0,0,1.0
40,9,40,1,0.25,0.25,0.0,1.0,1,1.0
41,9,41,2,0.25,0.75,0.0,1.0,0,0.0
42,9,42,3,0.75,0.25,1.0,1.0,0,1.0
43,9,43,4,0.75,0.75,1.0,1.0,0,1.0
44,9,44,2,0.25,0.75,0.0,1.0,0,0.0
45,9,45,4,0.75,0.75,1.0,0.0,0,1.0
46,9,46,4,0.75,0.75,1.0,1.0,0,1.0
47,9,47,3,0.75,0.25,0.0,0.0,0,0.0
48,9,48,2,0.25,0.75,0.0,0.0,0,0.0
49,9,49,1,0.25,0.25,1.0,1.0,1,1.0
50,9,50,4,0.75,0.75,1.0,1.0,0,1.0
51,9,51,2,0.25,0.75,0.0,0.0,0,0.0
52,9,52,3,0.75,0.25,1.0,0.0,0,1.0
53,9,53,2,0.25,0.75,1.0,1.0,1,1.0
54,9,54,1,0.25,0.25,1.0,0.0,1,0.0
55,9,55,1,0.25,0.25,1.0,1.0,1,1.0
56,9,56,4,0.75,0.75,1.0,1.0,0,1.0
57,9,57,4,0.75,0.75,1.0,1.0,0,1.0
58,9,58,1,0.25,0.25,1.0,1.0,1,1.0
59,9,59,3,0.75,0.25,0.0,0.0,0,0.0
60,9,60,2,0.25,0.75,0.0,1.0,0,0.0
