,run,trial,casino,mean0,mean1,reward0,reward1,choice,rewards
0,12,0,2,0.25,0.75,0.0,1.0,0,0.0
1,12,1,3,0.75,0.25,0.0,1.0,0,0.0
2,12,2,4,0.75,0.75,0.0,0.0,0,0.0
3,12,3,4,0.75,0.75,0.0,1.0,0,0.0
4,12,4,1,0.25,0.25,0.0,0.0,1,0.0
5,12,5,3,0.75,0.25,0.0,1.0,1,1.0
6,12,6,2,0.25,0.75,0.0,1.0,1,1.0
7,12,7,4,0.75,0.75,1.0,1.0,0,1.0
8,12,8,1,0.25,0.25,0.0,0.0,0,0.0
9,12,9,4,0.75,0.75,1.0,1.0,0,1.0
10,12,10,3,0.75,0.25,0.0,1.0,1,1.0
11,12,11,1,0.25,0.25,0.0,1.0,1,1.0
12,12,12,3,0.75,0.25,1.0,0.0,1,0.0
13,12,13,3,0.75,0.25,1.0,0.0,1,0.0
14,12,14,3,0.75,0.25,1.0,0.0,1,0.0
15,12,15,2,0.25,0.75,0.0,1.0,1,1.0
16,12,16,2,0.25,0.75,0.0,1.0,1,1.0
17,12,17,1,0.25,0.25,0.0,0.0,1,0.0
18,12,18,4,0.75,0.75,1.0,0.0,0,1.0
19,12,19,3,0.75,0.25,0.0,1.0,1,1.0
20,12,20,1,0.25,0.25,1.0,0.0,1,0.0
21,12,21,2,0.25,0.75,0.0,1.0,1,1.0
22,12,22,4,0.75,0.75,1.0,1.0,0,1.0
23,12,23,3,0.75,0.25,1.0,1.0,1,1.0
24,12,24,4,0.75,0.75,1.0,1.0,0,1.0
25,12,25,3,0.75,0.25,1.0,0.0,1,0.0
26,12,26,3,0.75,0.25,0.0,1.0,1,1.0
27,12,27,2,0.25,0.75,0.0,1.0,1,1.0
28,12,28,3,0.75,0.25,1.0,1.0,1,1.0
29,12,29,2,0.25,0.75,0.0,0.0,1,0.0
30,12,30,2,0.25,0.75,0.0,1.0,1,1.0
31,12,31,4,0.75,0.75,0.0,0.0,0,0.0
32,12,32,3,0.75,0.25,1.0,0.0,1,0.0
33,12,33,2,0.25,0.75,0.0,1.0,1,1.0
34,12,34,1,0.25,0.25,1.0,0.0,1,0.0
35,12,35,4,0.75,0.75,0.0,1.0,0,0.0
36,12,36,1,0.25,0.25,1.0,1.0,1,1.0
37,12,37,4,0.75,0.75,0.0,1.0,0,0.0
38,12,38,4,0.75,0.75,0.0,1.0,0,0.0
39,12,39,1,0.25,0.25,0.0,0.0,1,0.0
40,12,40,3,0.75,0.25,0.0,0.0,1,0.0
41,12,41,2,0.25,0.75,0.0,1.0,1,1.0
42,12,42,1,0.25,0.25,0.0,0.0,1,0.0
43,12,43,4,0.75,0.75,1.0,1.0,0,1.0
44,12,44,3,0.75,0.25,1.0,0.0,1,0.0
45,12,45,1,0.25,0.25,1.0,0.0,1,0.0
46,12,46,1,0.25,0.25,0.0,0.0,1,0.0
47,12,47,1,0.25,0.25,1.0,0.0,1,0.0
48,12,48,2,0.25,0.75,0.0,1.0,1,1.0
49,12,49,4,0.75,0.75,0.0,1.0,0,0.0
50,12,50,2,0.25,0.75,0.0,0.0,1,0.0
51,12,51,4,0.75,0.75,1.0,1.0,0,1.0
52,12,52,1,0.25,0.25,1.0,0.0,1,0.0
53,12,53,4,0.75,0.75,1.0,1.0,0,1.0
54,12,54,4,0.75,0.75,1.0,1.0,0,1.0
55,12,55,3,0.75,0.25,0.0,1.0,1,1.0
56,12,56,3,0.75,0.25,1.0,0.0,1,0.0
