agent,cognitive_model,run,nll,bic,beta,alpha,alpha_pos,alpha_neg
llama-2-70,Model_1alpha,0,68.92005300136933,146.96880238567434,0.45001074181617406,0.02275360796312726,,
llama-2-70,Model_1alpha,1,67.69757716782183,144.52385071857935,0.4228221249728362,0.9529358333298034,,
llama-2-70,Model_1alpha,2,59.05535707274638,127.23941052842844,1.570843590225587,0.8547115855872963,,
llama-2-70,Model_1alpha,3,69.05130120103702,147.2312987850097,0.49107412395475003,0.005622249470630953,,
llama-2-70,Model_1alpha,4,67.76228499476346,144.6532663724626,0.5331278288452095,0.6745654623703015,,
llama-2-70,Model_1alpha,5,68.98266011786876,147.0940166186732,0.4765193156520394,0.01185406192447723,,
llama-2-70,Model_1alpha,6,67.48890795624176,144.10651229541918,1.3170155723542003,0.07664904016659811,,
llama-2-70,Model_1alpha,7,62.30985588727902,133.7484081574937,1.4401233868165169,0.6576346557403662,,
llama-2-70,Model_1alpha,8,61.90434202051243,132.93738042396052,1.1352608110773748,0.9720315946067112,,
llama-2-70,Model_1alpha,9,63.33830542041361,135.8053072237629,1.8820859228551505,0.4516380603110393,,
llama-2-70,Model_1alpha,10,64.58175497118575,138.29220632530718,2.283802521312265,0.26745943058618094,,
llama-2-70,Model_1alpha,11,65.08895670789677,139.3066097987292,3.3689070743899046,0.12568950164384868,,
llama-2-70,Model_1alpha,12,68.5810163596117,146.29072910215905,0.7596600837805076,0.06847670507983994,,
llama-2-70,Model_1alpha,13,66.52794626581162,142.1845889145589,1.0231921305185652,0.36969552190306815,,
llama-2-70,Model_1alpha,14,68.87989390609643,146.8884841951285,0.47210928159502774,0.030826940904658973,,
llama-2-70,Model_1alpha,15,56.48919558378732,122.10708755051031,1.8966909856403527,0.648101550810198,,
llama-2-70,Model_1alpha,16,63.47122040753284,136.07113719800134,1.1638244812400176,0.9364611831106028,,
llama-2-70,Model_1alpha,17,63.77635600385812,136.6814083906519,0.9884027673707125,0.8843648830648827,,
llama-2-70,Model_1alpha,18,66.42397785802233,141.9766520989803,1.2342122207957404,0.3579739304357681,,
llama-2-70,Model_1alpha,19,68.9975077329131,147.1237118487619,0.4888218640517241,0.009673751142762426,,
llama-2-70,Model_1alpha,20,65.55421883474523,140.23713405242614,0.949830583098974,0.9616000420169952,,
llama-2-70,Model_1alpha,21,65.73144341697825,140.59158321689216,1.2246241536050853,0.26659542915643425,,
llama-2-70,Model_1alpha,22,67.32918779732785,143.78707197759138,0.5449770824525432,0.7598966387822288,,
llama-2-70,Model_1alpha,23,68.65349858621349,146.43569355536266,0.2114089135808023,0.7798568885146224,,
llama-2-70,Model_1alpha,24,68.58167923464974,146.29205485223514,0.3167269012470228,0.5283560703290537,,
