agent,cognitive_model,run,nll,bic,beta,alpha_forced,alpha_pos_free,alpha_neg_free,alpha_pos_forced,alpha_neg_forced
meta-rl,Model_3alpha,0,13.550818699634064,51.79678181487587,14.727047019848909,0.16562387169475626,0.13183872612037537,0.005132925042861647,,
meta-rl,Model_3alpha,1,38.67246539231802,102.04007520024378,9.229677443089042,0.1558360104638784,0.2347471614236423,0.06424692784531409,,
meta-rl,Model_3alpha,2,17.43407932882984,59.56330307326742,10.916904614334054,0.1549982880964006,0.22826570460343604,0.05258379888072276,,
meta-rl,Model_3alpha,3,19.421619928728177,63.538384273064096,12.97732395592912,0.1680200430983112,0.20301342045941123,0.056111692432124854,,
meta-rl,Model_3alpha,4,22.55473598561094,69.80461638682962,10.748171830408435,0.16188486672697217,0.20145058288284431,0.01864567719635071,,
meta-rl,Model_3alpha,5,20.682613614290783,66.06037164418932,16.26587210213654,0.12446156019863856,0.2124756353349555,0.06592208716774443,,
meta-rl,Model_3alpha,6,22.018085675647065,68.73131576690187,7.427349279383174,0.19225664181448093,0.5706443694198677,0.02632084343805725,,
meta-rl,Model_3alpha,7,31.538733207044967,87.77261082969768,16.392372426740724,0.11827244913163235,0.1851983403849646,0.07421068544359033,,
meta-rl,Model_3alpha,8,26.52826819347893,77.7516808025656,9.310639049640212,0.14797699587926894,0.21921966454014766,0.02413434182801002,,
meta-rl,Model_3alpha,9,24.890636647391243,74.47641771039024,6.274881820350613,0.13447041829725928,0.8161546154083937,0.04237124206797689,,
meta-rl,Model_3alpha,10,18.06743711600506,60.83001864761786,20.949215237261466,0.15479455265599326,0.22356583164907293,0.038686384791653455,,
meta-rl,Model_3alpha,11,30.227487643458854,85.15011970252546,9.993679067693648,0.16178824669687686,0.21685319746152273,0.07662729329718357,,
meta-rl,Model_3alpha,12,24.46207533191866,73.61929507944507,9.329300458792732,0.157188606773305,0.25214880481543495,0.043061662046869134,,
meta-rl,Model_3alpha,13,6.5118137733339045,37.718771962275554,11.813163093337684,0.2914595858729694,0.5576827773716847,0.1197601388566121,,
