plot_idx,block_idx,block_reward_type,block_forced_type,rewards,forgone_rewards,regrets,perc_opt_actions
0,0.0,0.0,0.0,0.47864583,-0.028125,,0.31648958,0.5005208
0,0.0,1.0,1.0,0.5125,0.011458334,,0.30846876,0.52239585
0,0.0,2.0,0.0,0.4953125,0.014583333,,0.32127082,0.51145834
0,0.0,3.0,1.0,0.51354164,0.05,,0.31377083,0.53229165
0,1.0,0.0,0.0,0.47864583,-0.026041666,,0.30577084,0.5296875
0,1.0,1.0,1.0,0.5125,0.041666668,,0.29989582,0.5239583
0,1.0,2.0,0.0,0.4953125,0.051041666,,0.31858334,0.5182292
0,1.0,3.0,1.0,0.51354164,0.017708333,,0.3128646,0.5130208
0,2.0,0.0,0.0,0.47864583,0.035416666,,0.31420836,0.5083333
0,2.0,1.0,1.0,0.5125,0.060416665,,0.29261458,0.52916664
0,2.0,2.0,0.0,0.4953125,0.06458333,,0.30904165,0.51927084
0,2.0,3.0,1.0,0.51354164,0.060416665,,0.30459374,0.53802085
0,3.0,0.0,0.0,0.47864583,0.009375,,0.2931771,0.5385417
0,3.0,1.0,1.0,0.5125,0.072916664,,0.29923958,0.5359375
0,3.0,2.0,0.0,0.4953125,0.0625,,0.30204165,0.53541666
0,3.0,3.0,1.0,0.51354164,0.019791666,,0.316625,0.51770836
0,4.0,0.0,0.0,0.47864583,0.015625,,0.2969375,0.54322916
0,4.0,1.0,1.0,0.5125,0.06979167,,0.28779167,0.5473958
0,4.0,2.0,0.0,0.4953125,0.098958336,,0.27975,0.55625
0,4.0,3.0,1.0,0.51354164,0.038541667,,0.30354166,0.525
0,5.0,0.0,0.0,0.47864583,0.008333334,,0.27804166,0.5552083
0,5.0,1.0,1.0,0.5125,0.040625,,0.29012498,0.5541667
0,5.0,2.0,0.0,0.4953125,0.072916664,,0.30013543,0.53802085
0,5.0,3.0,1.0,0.51354164,-0.009375,,0.31927082,0.52135414
0,6.0,0.0,0.0,0.47864583,0.004166667,,0.28495833,0.5385417
0,6.0,1.0,1.0,0.5125,0.07083333,,0.2819583,0.5598958
