agent,cognitive_model,run,nll,bic,beta,alpha_conf,alpha_disconf,alpha_pos_chosen,alpha_pos_unchosen,alpha_neg_chosen,alpha_neg_unchosen
meta-rl,Model_2alpha,0,24.284510770820035,67.95342607070123,10.098824955334438,0.1857098218230248,0.10540359375376245,,,,
meta-rl,Model_2alpha,1,21.19621033556899,61.77682520019913,7.647296087568048,0.28422505307812473,0.15725923867266134,,,,
meta-rl,Model_2alpha,2,21.273574589826623,61.9315537087144,9.179061337595538,0.33906301058757876,0.15007500825411352,,,,
meta-rl,Model_2alpha,3,15.982240675858055,51.34888588077726,5.617205918687179,0.3872916045092492,0.11310163266209937,,,,
meta-rl,Model_2alpha,4,8.766278758722798,36.91696204650675,6.825939281295928,0.8307735376882768,0.14782922609943963,,,,
meta-rl,Model_2alpha,5,26.147983265938045,71.68037106093723,4.948255962046503,0.35738504643235575,0.1670565591970225,,,,
meta-rl,Model_2alpha,6,19.26908473368756,57.92257399643627,13.839744010745365,0.1536547520058091,0.0636659939455063,,,,
meta-rl,Model_2alpha,7,24.340576959811344,68.06555844868384,4.2752701774668775,0.5484166085097668,0.13942850330567666,,,,
meta-rl,Model_2alpha,8,20.982503056358546,61.34941064177824,5.069186878291014,0.5673811115451395,0.13493767920314662,,,,
meta-rl,Model_2alpha,9,24.036449183588342,67.45730289623783,5.4810759207516115,0.29024620874418783,0.07629527057943666,,,,
meta-rl,Model_2alpha,10,32.09434423314134,83.57309299534384,7.4298448151212035,0.23824261154625653,0.11591709938488676,,,,
meta-rl,Model_2alpha,11,18.36384662963682,56.11209778833479,7.670401627753948,0.47310306441149724,0.26139075199199424,,,,
meta-rl,Model_2alpha,12,10.639127679883664,40.66265988882848,12.748344745121749,0.4318332831989526,0.1734692620038625,,,,
meta-rl,Model_2alpha,13,18.606500214159706,56.59740495738056,7.343020128040648,0.24529695184725195,0.06392064425258495,,,,
meta-rl,Model_2alpha,14,23.76765899706254,66.91972252318624,5.873665266989794,0.29672135965942986,0.10093059565331824,,,,
meta-rl,Model_2alpha,15,24.54144517767741,68.46729488441596,10.797081648503388,0.16256029966063404,0.07099941569887258,,,,
meta-rl,Model_2alpha,16,36.07811362097556,91.54063177101227,3.4907023821747316,0.4285903876758962,0.08584117967200713,,,,
meta-rl,Model_2alpha,17,14.441324467697674,48.267053464456495,5.9315565166706055,0.35476206530592913,0.07392446753424421,,,,
meta-rl,Model_2alpha,18,26.27468153596006,71.93376760098127,3.3939516786430515,0.5989589620287681,0.13108923712024623,,,,
