plot_idx,block_idx,block_feedback_type,rewards,forgone_rewards,regrets,perc_opt_actions
0,0.0,0.0,0.0,0.0,0.0,0.311,0.5171875
0,0.0,1.0,1.0,-0.00625,-0.009375,0.32463542,0.5083333
0,0.0,2.0,0.0,0.016666668,0.0,0.3364479,0.4953125
0,0.0,3.0,1.0,0.010416667,-0.008333334,0.3151979,0.5125
0,1.0,0.0,0.0,0.029166667,0.0,0.29565623,0.5385417
0,1.0,1.0,1.0,0.039583333,-0.051041666,0.2894271,0.5395833
0,1.0,2.0,0.0,0.058333334,0.0,0.2903229,0.5453125
0,1.0,3.0,1.0,0.033333335,-0.058333334,0.28209373,0.56041664
0,2.0,0.0,0.0,0.026041666,0.0,0.29097918,0.54114586
0,2.0,1.0,1.0,0.060416665,-0.057291668,0.27901042,0.5630208
0,2.0,2.0,0.0,0.034375,0.0,0.30252084,0.52760416
0,2.0,3.0,1.0,0.04375,-0.042708334,0.2729896,0.55625
0,3.0,0.0,0.0,0.041666668,0.0,0.29370832,0.54322916
0,3.0,1.0,1.0,0.059375,-0.078125,0.25940624,0.56666666
0,3.0,2.0,0.0,0.05,0.0,0.2859375,0.55
0,3.0,3.0,1.0,0.022916667,-0.025,0.2918229,0.53333336
0,4.0,0.0,0.0,0.05,0.0,0.28079167,0.54114586
0,4.0,1.0,1.0,0.059375,-0.0375,0.26969793,0.55260414
0,4.0,2.0,0.0,0.047916666,0.0,0.28921875,0.53802085
0,4.0,3.0,1.0,0.041666668,-0.020833334,0.2956979,0.52708334
0,5.0,0.0,0.0,0.03125,0.0,0.28967708,0.5375
0,5.0,1.0,1.0,0.0625,-0.048958335,0.27693748,0.5416667
0,5.0,2.0,0.0,0.035416666,0.0,0.3044271,0.5260417
0,5.0,3.0,1.0,0.013541667,-0.057291668,0.28135416,0.55104166
0,6.0,0.0,0.0,0.075,0.0,0.27726042,0.56875
0,6.0,1.0,1.0,0.041666668,-0.0625,0.2746979,0.553125
0,6.0,2.0,0.0,0.05625,0.0,0.28465623,0.546875
0,6.0,3.0,1.0,0.054166667,-0.059375,0.28516668,0.5395833
0,7.0,0.0,0.0,0.034375,0.0,0.277875,0.55833334
0,7.0,1.0,1.0,0.047916666,-0.060416665,0.2746979,0.5640625
0,7.0,2.0,0.0,0.058333334,0.0,0.29603127,0.5328125
0,7.0,3.0,1.0,0.032291666,-0.021875,0.28777084,0.540625
0,8.0,0.0,0.0,0.020833334,0.0,0.29190627,0.5385417
0,8.0,1.0,1.0,0.07395833,-0.033333335,0.27225,0.559375
0,8.0,2.0,0.0,0.055208333,0.0,0.26371875,0.5598958
0,8.0,3.0,1.0,0.08958333,-0.052083332,0.27449998,0.56041664
0,9.0,0.0,0.0,0.039583333,0.0,0.29128125,0.5484375
0,9.0,1.0,1.0,0.042708334,-0.060416665,0.27283332,0.559375
0,9.0,2.0,0.0,0.06979167,0.0,0.28897917,0.54583335
0,9.0,3.0,1.0,0.054166667,-0.083333336,0.27008334,0.55260414
0,10.0,0.0,0.0,0.01875,0.0,0.28483334,0.56354165
0,10.0,1.0,1.0,0.045833334,-0.034375,0.28398958,0.5463542
0,10.0,2.0,0.0,0.061458334,0.0,0.2692604,0.54583335
0,10.0,3.0,1.0,0.055208333,-0.053125,0.2753229,0.5416667
0,11.0,0.0,0.0,0.057291668,0.0,0.28280208,0.5463542
0,11.0,1.0,1.0,0.040625,-0.040625,0.275,0.55885416
0,11.0,2.0,0.0,0.016666668,0.0,0.27683336,0.55052084
0,11.0,3.0,1.0,0.038541667,-0.057291668,0.2645521,0.5640625
0,12.0,0.0,0.0,0.038541667,0.0,0.29304168,0.546875
0,12.0,1.0,1.0,0.036458332,-0.05,0.26620832,0.5630208
0,12.0,2.0,0.0,0.040625,0.0,0.28303126,0.5473958
0,12.0,3.0,1.0,0.08958333,-0.08020833,0.25834376,0.57395834
0,13.0,0.0,0.0,0.045833334,0.0,0.28440624,0.55052084
0,13.0,1.0,1.0,0.067708336,-0.067708336,0.24703124,0.5859375
0,13.0,2.0,0.0,0.08020833,0.0,0.27671874,0.55572915
0,13.0,3.0,1.0,0.038541667,-0.017708333,0.27458334,0.5630208
0,14.0,0.0,0.0,0.063541666,0.0,0.26473957,0.56666666
0,14.0,1.0,1.0,0.08020833,-0.015625,0.2651979,0.56666666
0,14.0,2.0,0.0,0.058333334,0.0,0.28122917,0.55833334
0,14.0,3.0,1.0,0.078125,-0.055208333,0.28197914,0.5515625
0,15.0,0.0,0.0,0.019791666,0.0,0.29061458,0.5317708
0,15.0,1.0,1.0,0.088541664,-0.058333334,0.27133334,0.55677086
0,15.0,2.0,0.0,0.06666667,0.0,0.2730104,0.5494792
0,15.0,3.0,1.0,-0.010416667,-0.027083334,0.28681248,0.5463542
0,16.0,0.0,0.0,0.052083332,0.0,0.28385416,0.546875
0,16.0,1.0,1.0,0.08645833,-0.035416666,0.2721146,0.55625
0,16.0,2.0,0.0,0.063541666,0.0,0.28020832,0.546875
0,16.0,3.0,1.0,0.083333336,-0.075,0.2805417,0.559375
0,17.0,0.0,0.0,0.05625,0.0,0.2985625,0.5286458
0,17.0,1.0,1.0,0.08541667,-0.067708336,0.2508021,0.5786458
0,17.0,2.0,0.0,0.055208333,0.0,0.27314582,0.5619792
0,17.0,3.0,1.0,0.022916667,-0.07083333,0.2821875,0.5385417
0,18.0,0.0,0.0,0.07395833,0.0,0.28284374,0.5546875
0,18.0,1.0,1.0,0.067708336,-0.038541667,0.26939583,0.56354165
0,18.0,2.0,0.0,0.061458334,0.0,0.28058332,0.5552083
0,18.0,3.0,1.0,0.045833334,-0.058333334,0.27940625,0.55052084
0,19.0,0.0,0.0,0.030208332,0.0,0.28402084,0.54479164
0,19.0,1.0,1.0,0.078125,-0.044791665,0.26907292,0.5609375
0,19.0,2.0,0.0,0.063541666,0.0,0.27835417,0.54270834
0,19.0,3.0,1.0,0.044791665,-0.051041666,0.28435418,0.54114586
1000,0.0,0.0,0.0,0.00625,0.0,0.2989375,0.55677086
