agent,cognitive_model,run,nll,bic,beta,alpha,alpha_pos,alpha_neg
meta-rl,Model_1alpha,0,31.17050759072707,71.46971156438981,10.116111929442445,0.8760253604590015,,
meta-rl,Model_1alpha,1,47.90087046975941,104.9304373224545,9.438915466948334,0.5903907182285167,,
meta-rl,Model_1alpha,2,45.229418390038845,99.58753316301336,8.327722599035376,0.6901893405028175,,
meta-rl,Model_1alpha,3,37.85882558633018,84.84634755559603,9.321931119827232,0.8153960414333699,,
meta-rl,Model_1alpha,4,55.280008662092534,119.68871370712074,7.402780971021151,0.5443083658223933,,
meta-rl,Model_1alpha,5,32.18549914270896,73.4996946683536,22.27891536646377,0.32055633478707496,,
meta-rl,Model_1alpha,6,36.52689806314907,82.18249250923381,15.669488746694379,0.4035107887010436,,
meta-rl,Model_1alpha,7,47.29252558068815,103.71374754431197,6.591496976521016,0.7179713762342749,,
meta-rl,Model_1alpha,8,35.59830189319736,80.32530016933039,31.561359601757736,0.1940164335094179,,
meta-rl,Model_1alpha,9,39.50827638203905,88.14524914701377,10.003821793071202,0.595265892591082,,
meta-rl,Model_1alpha,10,30.99686118368024,71.12241875029616,21.00904513380961,0.3673588678133294,,
meta-rl,Model_1alpha,11,38.038614165028854,85.20592471299338,14.287502896959966,0.38906894966392425,,
meta-rl,Model_1alpha,12,38.06339904540831,85.2554944737523,14.036265996831647,0.3572075917784204,,
meta-rl,Model_1alpha,13,44.15291170609032,97.43451979511632,9.034222965869168,0.5889359509181149,,
meta-rl,Model_1alpha,14,34.861538075083885,78.85177253310344,9.70213795281391,0.8453751272822727,,
meta-rl,Model_1alpha,15,51.154562029386,111.43782044170767,8.527324528826089,0.41281409551448517,,
meta-rl,Model_1alpha,16,42.950599300549044,95.02989498403376,13.331535983454048,0.37773312201709275,,
meta-rl,Model_1alpha,17,23.129556179427556,55.387808741790785,39.733494379347974,0.17066439490850602,,
meta-rl,Model_1alpha,18,26.765944064021326,62.660584510978325,33.60458612074717,0.19574051200805856,,
meta-rl,Model_1alpha,19,32.14359259211408,73.41588156716384,33.94514443750513,0.11338728535115349,,
meta-rl,Model_1alpha,20,20.349420633527526,49.827537649990724,33.97320628929044,0.22519432302069275,,
meta-rl,Model_1alpha,21,29.773428939716162,68.675554262368,35.9857509565096,0.1528326527355278,,
meta-rl,Model_1alpha,22,56.22682121811581,121.58233881916729,4.438635616994304,0.9658496275959079,,
meta-rl,Model_1alpha,23,34.018116930319486,77.16493024357464,16.592698556932337,0.4196968425560447,,
meta-rl,Model_1alpha,24,41.15265025514837,91.43399689323242,15.637014610833672,0.3879816220873501,,
meta-rl,Model_1alpha,25,44.96192109435029,99.05253857163625,6.91599692088012,0.7912258529125246,,
meta-rl,Model_1alpha,26,47.00888400423958,103.14646439141484,16.661376281827945,0.14019456904179067,,
meta-rl,Model_1alpha,27,24.594718235747283,58.31813285443024,28.246340493276826,0.26093360612805894,,
meta-rl,Model_1alpha,28,48.64144907899228,106.41159454092023,7.727807392673527,0.6805372429432884,,
meta-rl,Model_1alpha,29,23.45703814958727,56.04277268211021,29.358750953311482,0.20948720462667716,,
meta-rl,Model_1alpha,30,56.14774128741031,121.4241789577563,9.022775604542543,0.4427859336305847,,
meta-rl,Model_1alpha,31,47.64490622523157,104.41850883339882,20.846692337937093,0.22294709442253494,,
meta-rl,Model_1alpha,32,28.85911991670313,66.84693621634193,31.74604105884023,0.19196200784731968,,
meta-rl,Model_1alpha,33,24.393748984165647,57.91619435126697,28.614035352047242,0.28049951743095775,,
meta-rl,Model_1alpha,34,47.10365769486434,103.33601177266435,10.871733268867963,0.42014951217118046,,
meta-rl,Model_1alpha,35,36.53159231158494,82.19188100610555,22.070248779713516,0.24555297729384773,,
meta-rl,Model_1alpha,36,25.825772897633314,60.7802421782023,40.81645761029866,0.13516875993120223,,
meta-rl,Model_1alpha,37,34.596830765621284,78.32235791417824,21.1890252417623,0.3002075943493293,,
meta-rl,Model_1alpha,38,46.92257729639494,102.97385097572555,11.811729310400088,0.41548575203861654,,
meta-rl,Model_1alpha,39,40.74666532452729,90.62202703199026,13.144925399462998,0.39918786052344046,,
meta-rl,Model_1alpha,40,48.49424185376061,106.1171800904569,28.880903966358503,0.09355720365579956,,
meta-rl,Model_1alpha,41,35.20281450556366,79.53432539406299,12.477283605207132,0.6469461887733364,,
meta-rl,Model_1alpha,42,34.75743953201079,78.64357544695726,9.055746729165339,0.8333686497124839,,
meta-rl,Model_1alpha,43,37.50964051603526,84.1479774150062,25.988291357863165,0.25869086809522945,,
