plot_idx,cues,trials_idx,rewards,forgone_rewards,regrets,perc_opt_actions,entropy,value_fn,policy_0,policy_1,uo_idx,uo_regrets,uo_rewards,uo_forgone_rewards,uo_perc_opt_actions
1,0,0,0.25260416,0.24565972,0.08284643,0.50710225,0.6849282,1.819307,0.48799303,0.512007,0,0.081940494,0.24463384,0.24818498,0.50978535
1,0,1,0.24408144,0.2471591,0.08591067,0.49447602,0.6881149,1.8823409,0.50289303,0.497107,1,0.08105981,0.24928977,0.24297664,0.49984217
1,0,2,0.25189394,0.24684343,0.084573865,0.49510732,0.6884265,1.9195185,0.5035212,0.4964788,2,0.08248106,0.24897411,0.25031567,0.5052083
1,0,3,0.24360795,0.24747474,0.083632424,0.5044192,0.6884543,1.9306624,0.5036694,0.49633065,3,0.083317555,0.2494476,0.24534407,0.4982639
1,0,4,0.24195075,0.2534722,0.08858664,0.49037248,0.68863016,1.930087,0.5031401,0.49685988,4,0.08269334,0.25039458,0.24794823,0.49857953
1,0,5,0.24976325,0.24794823,0.08537247,0.5034722,0.68878806,1.9324207,0.50363976,0.49636024,5,0.08196259,0.24881628,0.25094697,0.49747476
1,0,6,0.25268307,0.25007892,0.08360716,0.5077336,0.68877643,1.9284266,0.50253165,0.49746835,6,0.083428025,0.24597538,0.24526516,0.49810606
1,0,7,0.2432923,0.24913195,0.08410275,0.5011048,0.6888253,1.9230951,0.50147885,0.49852118,7,0.08030698,0.24913195,0.24305555,0.5029987
1,0,8,0.24936868,0.25197285,0.08615293,0.49368685,0.688799,1.9159188,0.5015507,0.4984493,8,0.086020365,0.2482639,0.24518624,0.49068815
1,0,9,0.24621212,0.24400252,0.08336727,0.5012626,0.688787,1.9071536,0.5018406,0.49815938,9,0.08527936,0.2432923,0.2549716,0.49510732
1,0,10,0.24968435,0.24763258,0.08544429,0.4943182,0.68882936,1.8996441,0.5004952,0.49950477,10,0.0836261,0.24668561,0.24802715,0.4938447
1,0,11,0.24960543,0.244476,0.08261601,0.50284094,0.6888693,1.8879119,0.5000918,0.49990818,11,0.0814165,0.25268307,0.24147727,0.5138889
1,0,12,0.25205177,0.24629104,0.08483901,0.5,0.68885666,1.8784899,0.49898463,0.50101537,12,0.083085544,0.24321339,0.24376579,0.5033144
1,0,13,0.24897411,0.24400252,0.08497238,0.495423,0.6888296,1.8651416,0.49878517,0.50121486,13,0.08438841,0.24755366,0.24897411,0.4977904
1,0,14,0.24755366,0.24936868,0.085751265,0.49337122,0.68875176,1.8530203,0.4982875,0.5017125,14,0.08540878,0.24195075,0.25339332,0.48863637
1,0,15,0.24976325,0.25078914,0.08292929,0.50536615,0.68866616,1.8400115,0.49714434,0.50285566,15,0.08319918,0.25142047,0.25228852,0.5061553
1,0,16,0.24865846,0.25007892,0.083057925,0.510101,0.6886727,1.8227276,0.49758583,0.50241417,16,0.080096275,0.2517361,0.24794823,0.5160985
1,0,17,0.25031567,0.24755366,0.08432686,0.5011048,0.68863964,1.8075124,0.49647874,0.50352126,17,0.08503551,0.244476,0.25094697,0.49684343
1,0,18,0.24676453,0.24747474,0.08567472,0.49337122,0.6886633,1.7939712,0.4962859,0.50371414,18,0.082785666,0.24731691,0.2510259,0.5056818
1,0,19,0.24818498,0.2471591,0.08363005,0.50931185,0.6886718,1.7760956,0.49622765,0.5037724,19,0.08538273,0.24810606,0.25299874,0.49021465
1,0,20,0.24676453,0.24818498,0.08437736,0.50078917,0.6886986,1.7620022,0.49604544,0.5039546,20,0.08453125,0.244476,0.2477115,0.5015783
1,0,21,0.24763258,0.24842171,0.08528094,0.4938447,0.6887438,1.7417681,0.49577737,0.50422263,21,0.08602035,0.24195075,0.25339332,0.4916351
1,0,22,0.2471591,0.24368687,0.08533538,0.49258208,0.68861026,1.7233208,0.49619672,0.5038033,22,0.08458412,0.24913195,0.24581756,0.5052083
1,0,23,0.24802715,0.24779041,0.08440262,0.50363004,0.6886861,1.7071027,0.49611035,0.5038896,23,0.08331282,0.24763258,0.24723801,0.50015783
1,1,0,0.24550189,0.24936868,0.08322127,0.49289772,0.684006,1.843891,0.4736423,0.5263577,24,0.0808286,0.24755366,0.24684343,0.5015783
1,1,1,0.25197285,0.24818498,0.081569605,0.50236744,0.6872895,1.871442,0.49378082,0.5062192,25,0.0823903,0.24865846,0.25031567,0.49589646
1,1,2,0.24921086,0.2482639,0.082521304,0.4995265,0.6875684,1.9062283,0.4935132,0.5064868,26,0.08268545,0.25252524,0.25134155,0.4995265
1,1,3,0.24400252,0.24897411,0.083058715,0.49210858,0.68737406,1.9215993,0.49213672,0.5078633,27,0.07995029,0.252762,0.2488952,0.509154
1,1,4,0.25086805,0.24652778,0.07956676,0.5104167,0.6875545,1.9205875,0.49229795,0.50770205,28,0.08405934,0.24842171,0.25142047,0.49510732
1,1,5,0.25,0.24565972,0.07968514,0.5126263,0.6873238,1.9204764,0.49288785,0.50711215,29,0.08171953,0.2517361,0.24526516,0.5077336
